country	thailand	#511EA8
country	vietnam	#4928B4
country	singapore	#4334BF
country	french polynesia	#4041C7
country	american samoa	#3F50CC
country	fiji	#3F5ED0
country	tonga	#416CCE
country	china	#4379CD
country	taiwan	#4784C7
country	japan	#4B8FC1
country	italy	#5098B9
country	brazil	#56A0AF
country	peru	#5CA7A4
country	ecuador	#63AC99
country	colombia	#6BB18E
country	french guiana	#73B583
country	suriname	#7CB878
country	venezuela	#86BB6E
country	panama	#A4BE56
country	nicaragua	#AFBD4F
country	honduras	#B9BC4A
country	el salvador	#C2BA46
country	guatemala	#CCB742
country	mexico	#D3B240
country	martinique	#DAAC3D
country	guadeloupe	#DFA43B
country	saint barthelemy	#E39B39
country	usvi	#E68F36
country	puerto rico	#E68234
country	jamaica	#E67431
country	dominican republic	#E4632E
country	haiti	#E1512A
country	cuba	#DF4027
country	usa	#DC2F24
country	australia	#DC2F24
cluster	Mj-I	#a6cee3
cluster	Mj-II	#fb9a99
cluster	Mj-III.a	#b15928
cluster	Mj-III.b	#ffff99
cluster	Mj-III.c	#00441b
cluster	Mj-IV.a	#e31a1c
cluster	Mj-IV.b	#33a02c
cluster	Mj-IV.c	#cab2d6
cluster	Mj-V.a	#1f78b4
cluster	Mj-V.b	#67001f
cluster	Mj-V.d	#b2df8a
cluster	Mj-V.c	#6a3d9a
cluster	Mj-VI	#fdbf6f
cluster	Mn	#ff7f00
clade_membership	Mj-I	#a6cee3
clade_membership	Mj-II	#fb9a99
clade_membership	Mj-III.a	#b15928
clade_membership	Mj-III.b	#ffff99
clade_membership	Mj-III.c	#00441b
clade_membership	Mj-IV.a	#e31a1c
clade_membership	Mj-IV.b	#33a02c
clade_membership	Mj-IV.c	#cab2d6
clade_membership	Mj-V.a	#1f78b4
clade_membership	Mj-V.b	#67001f
clade_membership	Mj-V.d	#b2df8a
clade_membership	Mj-V.c	#6a3d9a
clade_membership	Mj-VI	#fdbf6f
clade_membership	Unassigned	#AAAAAA

